Departamentos,Codigo DANE - Depto,Municipio,Codigo DANE - Mpio,Agroforestal (Ha),ConservaciOn de Suelos  (Ha),Ganadera (Ha),Vocacion (0 No hay - 1 hay algo),Predios <10 cab,Predios 11 - 25 cab,Predios 26-50 cab,Predios 51-100 cab,Predios 101-250 cab,Predios 251-500 cab,Predios 501-1000 cab,Predios >1000 cab,Total predios,% predios 11-50 cab,Terneras < 12 Meses,Terneros < 12 Meses,Hembras 12 - 24 Meses,Machos 12 - 24 Meses,Hembras 24 - 36 Meses,Machos 24 - 36 Meses,Hembras > 36 Meses,Machos > 36 Meses,# Machos,% Machos,# Hembras,% Hembras,Total Bovinos - 2017,Total Area sembrada de cultivos agroindustriales (ha),Total Area sembrada de cultivos de plAtano y tubErculos,Total Area sembrada de frutas,Total Area sembrada de cultivos de cereales,"Total Area sembrada en flores, hortalizas, verduras y legumbres, plantas aromaticas y medcinales",Area total sembrada del sector agricola,# Cabezas/ Ha sembrada,Sub-regiOn estratEgica (0-1),Emisiones Sector AgrIcola (Miles de ton CO2 eq),Emisiones Sector Forestal (Miles de ton CO2 eq),Sector Pecuario (Miles de ton CO2 eq),Emisiones Sub-sector Ganadero (Miles de ton CO2 eq),Diferencia Sector pecuario - S-Sec GanaderIa (Miles de ton CO2 eq),Sub-Sec. Gan. / Agri. + Forst.x + Dif S Pec-S Gan (%),Total Emisiones Brutas (Miles de toneladas de CO2 equivalente),Total  Absorciones (Miles toneladas de CO2 equivalente),Balance Municipal (miles Ton/aNo),Absorciones / Emisiones
BOYACA,15,ALMEIDA,15022,2532,780,0,1,104,28,2,1,1,0,0,0,136,0.22,118,130,145,143,120,86,369,65,424,0.36,752,0.64,1176,195,32,120,69,33,450,2.6,0,1.3,2.9,2,0.7,1,0.14,8.95,-1.2,7.8,0.13
BOYACA,15,AQUITANIA,15047,11648,45967,988,1,521,331,81,24,3,0,0,0,960,0.43,1040,1017,1091,1629,1255,2263,2974,731,5640,0.47,6360,0.53,12000,116,782,270,23,2341,3532,3.4,0,103.8,17.9,13,7.2,5.4,0.06,172.9,-37.19,135.71,0.22
BOYACA,15,ARCABUCO,15051,6766,2977,0,1,273,178,46,15,3,1,0,0,516,0.43,819,745,871,869,1048,645,2611,237,2496,0.32,5349,0.68,7845,0,2479,2080,24,60,4644,1.7,0,26.5,6.2,7,4.9,2.3,0.14,54.81,-11.88,42.92,0.22
BOYACA,15,BELEN,15087,446,4572,0,0,470,255,50,18,2,0,0,0,795,0.38,963,674,1211,564,598,224,5154,63,1525,0.16,7926,0.84,9451,0,1766,41,246,38,2090,4.5,0,11.2,7,11,7,3.7,0.32,55.39,-4.69,50.7,0.08
BOYACA,15,BERBEO,15090,1010,48,0,1,63,60,17,2,1,0,0,0,143,0.54,152,220,251,262,285,388,679,158,1028,0.43,1367,0.57,2395,401,14,61,21,16,512,4.7,0,2.4,2.6,3,1.5,1,0.25,10.89,-1.32,9.57,0.12
BOYACA,15,BETEITIVA,15092,0.2,1996,0,0,260,94,9,2,0,0,0,0,365,0.28,371,380,376,362,192,76,1190,21,839,0.28,2129,0.72,2968,0,17,14,29,4,65,45.9,0,0.1,3.3,2,1.9,0,0.55,9.15,-0.94,8.21,0.1
BOYACA,15,BOAVITA,15097,812,3206,0,1,430,135,22,2,1,0,0,0,590,0.27,530,524,880,693,323,404,1738,308,1929,0.36,3471,0.64,5400,90,43,551,1287,649,2621,2.1,0,1.1,8.4,6,3.4,2.3,0.28,30.41,-1.32,29.09,0.04
BOYACA,15,BOYACA,15104,0,0,0,0,387,55,14,2,0,0,0,0,458,0.15,279,277,391,286,399,276,1147,103,942,0.3,2216,0.7,3158,0,1476,315,297,573,2662,1.2,0,31.4,7.6,3,2.1,1.4,0.05,52.79,-11.37,41.42,0.22
BOYACA,15,BRICENO,15106,1032,0,0,1,118,65,21,1,0,0,0,0,205,0.42,292,259,326,181,257,201,956,121,762,0.29,1831,0.71,2593,1408,18,2275,13,26,3739,0.7,0,0.3,3.8,13,1.6,11.2,0.11,21.62,-1.13,20.49,0.05
BOYACA,15,BUENAVISTA,15109,394,0,0,0,350,117,27,5,1,0,0,0,500,0.29,544,501,627,534,261,370,194,184,1589,0.49,1626,0.51,3215,793,65,4214,31,329,5433,0.6,0,5.5,13,5,1.3,3.8,0.06,32.76,-2.47,30.29,0.08
